전용면적,층,연도1,건축년도1,지역코드_2자리_11,지역코드_2자리_26,지역코드_2자리_27,지역코드_2자리_28,지역코드_2자리_41,지역코드_2자리_43,지역코드_2자리_44,지역코드_2자리_45,지역코드_2자리_46,지역코드_2자리_47,법정동1_기타동,거래금액1
59.87,3,57,33,0,0,0,0,0,0,0,1,0,0,1,8.853808274977197
46.625,3,59,20,0,0,1,0,0,0,0,0,0,0,1,9.602450025
84.9126,9,59,52,0,0,0,0,0,0,0,1,0,0,1,9.758519582283522
60.0,9,62,37,0,0,1,0,0,0,0,0,0,0,1,9.781376414141157
84.76,15,58,31,0,0,0,0,0,0,0,0,0,0,1,10.15622874028928
84.887,3,60,50,0,0,0,0,0,0,1,0,0,0,0,10.16972890675306
45.9078,8,60,41,0,0,0,0,0,0,0,0,0,0,1,10.064798252418376
59.7,7,56,37,0,0,0,0,1,0,0,0,0,0,1,10.110542371500753
84.969,7,59,48,0,0,0,0,1,0,0,0,0,0,0,11.184435286790633
84.6742,8,59,57,0,0,0,0,1,0,0,0,0,0,1,10.86858749601736
59.53,11,60,44,0,0,0,0,1,0,0,0,0,0,0,9.918425424900336
111.38,10,60,37,1,0,0,0,0,0,0,0,0,0,1,10.825780236605915
59.414,11,60,49,0,0,0,0,1,0,0,0,0,0,0,10.491301994830229
33.1,14,57,38,0,1,0,0,0,0,0,0,0,0,0,9.036106025364846
58.74,14,60,35,0,0,0,0,1,0,0,0,0,0,0,10.59665973278358
59.97,7,55,37,0,0,0,0,0,0,0,0,0,0,1,9.803722464346553
59.73,10,57,36,0,0,1,0,0,0,0,0,0,0,1,10.085850775128716
59.49,5,57,41,1,0,0,0,0,0,0,0,0,0,0,10.515993929932415
59.9618,17,63,55,0,0,0,0,0,0,0,0,0,1,1,9.680406499268877
59.87,9,60,36,1,0,0,0,0,0,0,0,0,0,1,10.685126264117056
75.309,4,55,55,0,0,0,0,0,0,0,0,0,0,1,9.738259073
84.9461,14,59,47,0,0,0,0,0,0,0,0,0,1,1,10.24356044187724
59.9,14,56,34,0,0,0,0,0,0,0,0,0,0,0,8.999742789830492
59.795,2,63,37,0,0,0,1,0,0,0,0,0,0,1,9.952325334619427
59.9283,1,57,43,0,0,1,0,0,0,0,0,0,0,1,9.933094897288786
73.02,7,57,30,0,0,1,0,0,0,0,0,0,0,1,10.090008612393838
84.93,1,57,36,0,0,0,0,0,0,0,0,0,1,1,8.853808274977197
119.34,11,57,41,0,0,0,0,1,0,0,0,0,0,1,11.047726275896393
84.9537,1,58,57,0,0,0,0,0,1,0,0,0,0,1,10.095800693457734
59.95,11,58,36,0,0,0,0,0,0,0,0,1,0,1,9.305741456739437
41.25,7,63,39,0,0,0,0,0,0,0,0,0,0,0,9.105090961257083
84.75,3,60,60,0,0,0,0,1,0,0,0,0,0,1,11.097425172408933
84.9906,5,60,46,0,0,0,0,0,0,0,0,0,0,1,9.615872145
59.96,3,60,34,0,0,0,0,0,0,0,0,0,1,1,8.716207971151853
83.97,6,62,30,0,0,0,0,0,0,0,0,0,0,1,9.674137279312395
64.98,13,57,26,1,0,0,0,0,0,0,0,0,0,0,11.310821520675267
51.85,8,56,49,0,0,0,0,0,0,0,0,0,0,1,9.846970109700957
15.449,8,57,45,0,0,0,0,1,0,0,0,0,0,1,8.987321812850125
59.97,13,60,34,0,0,0,0,0,0,0,1,0,0,1,8.987321812850125
38.61,3,57,37,0,0,0,0,0,1,0,0,0,0,1,7.937731775260109
